x y theta v w
-0.436421 -4.86433 2.58125 0.210378 -0.238632
-0.454163 -4.8529 2.55745 0.211484 -0.237491
-0.468226 -4.84341 2.5385 0.212686 -0.236244
-0.485841 -4.83096 2.51464 0.220143 -0.24207
-0.503542 -4.81781 2.49051 0.221136 -0.240223
-0.520995 -4.80418 2.46664 0.221666 -0.237688
-0.538165 -4.7901 2.44302 0.222309 -0.235275
-0.555057 -4.77557 2.41963 0.223126 -0.232946
-0.571673 -4.7606 2.39647 0.224102 -0.230676
-0.588017 -4.74517 2.37354 0.225224 -0.228445
-0.604091 -4.72928 2.35082 0.226476 -0.226237
-0.619893 -4.71295 2.32833 0.227849 -0.224039
-0.635423 -4.69615 2.30606 0.229331 -0.22184
-0.65068 -4.6789 2.28401 0.230916 -0.219632
-0.66566 -4.6612 2.26218 0.232596 -0.217409
-0.680362 -4.64304 2.24057 0.234364 -0.215165
-0.694781 -4.62442 2.21919 0.236216 -0.212896
-0.708914 -4.60535 2.19804 0.238148 -0.210601
-0.722758 -4.58583 2.17712 0.240155 -0.208277
-0.736307 -4.56585 2.15643 0.242235 -0.205923
-0.749558 -4.54542 2.13598 0.244384 -0.203539
-0.762506 -4.52453 2.11578 0.2466 -0.201126
-0.775147 -4.5032 2.09581 0.24888 -0.198684
-0.787476 -4.48142 2.07609 0.251223 -0.196215
-0.79949 -4.45919 2.05662 0.253627 -0.19372
-0.811183 -4.43652 2.0374 0.256089 -0.191201
-0.822551 -4.41341 2.01843 0.258608 -0.18866
-0.83359 -4.38985 1.99972 0.261183 -0.186098
-0.844295 -4.36585 1.98126 0.263811 -0.183519
-0.854685 -4.34137 1.96312 0.266493 -0.180925
-0.864732 -4.31646 1.94523 0.269139 -0.178409
-0.872522 -4.29621 1.93111 0.271843 -0.175873
-0.882027 -4.27029 1.9134 0.282585 -0.178711
-0.891333 -4.24345 1.89572 0.28511 -0.175641
