x y theta v w
0.584917 -4.75801 3.89995 0.223437 -0.226592
0.568579 -4.77314 3.87721 0.221891 -0.228253
0.552014 -4.78779 3.8543 0.220403 -0.229848
0.535228 -4.80196 3.83124 0.218971 -0.231376
0.518228 -4.81565 3.80802 0.217595 -0.232836
0.501021 -4.82887 3.78467 0.216276 -0.234229
0.483613 -4.84159 3.76118 0.215011 -0.235554
0.466012 -4.85384 3.73756 0.213802 -0.236812
0.448224 -4.86559 3.71382 0.212647 -0.238004
0.430257 -4.87687 3.68996 0.211547 -0.239129
0.412118 -4.88765 3.66599 0.2105 -0.24019
0.393815 -4.89795 3.64192 0.209506 -0.241187
0.375353 -4.90775 3.61776 0.208565 -0.242121
0.356742 -4.91707 3.5935 0.207675 -0.242993
0.337988 -4.92589 3.56916 0.206838 -0.243806
0.319098 -4.93422 3.54474 0.206051 -0.24456
0.300081 -4.94206 3.52025 0.205314 -0.245258
0.280944 -4.9494 3.49569 0.204627 -0.245901
0.261695 -4.95625 3.47107 0.203989 -0.24649
0.242341 -4.9626 3.44639 0.203401 -0.247028
0.22289 -4.96846 3.42166 0.20286 -0.247517
0.20335 -4.97381 3.39689 0.202367 -0.247957
0.183728 -4.97868 3.37207 0.201922 -0.24835
0.164033 -4.98304 3.34722 0.201523 -0.248698
0.144273 -4.98691 3.32233 0.201171 -0.249003
0.124454 -4.99027 3.29742 0.200866 -0.249266
0.104586 -4.99314 3.27248 0.200606 -0.249487
0.0846763 -4.99551 3.24752 0.200392 -0.249668
0.0647325 -4.99738 3.22255 0.200223 -0.249811
0.0447629 -4.99875 3.19756 0.2001 -0.249914
0.0247753 -4.99962 3.17257 0.200021 -0.24998
0.0047778 -4.99999 3.14757 0.199988 -0.250007
-0.0152216 -4.99986 3.12256 0.2 -0.249997
-0.0352149 -4.99922 3.09757 0.200056 -0.24995
-0.0551941 -4.99809 3.07257 0.200158 -0.249865
-0.0751513 -4.99646 3.04759 0.200305 -0.249741
-0.0950783 -4.99433 3.02263 0.200498 -0.249579
-0.114967 -4.9917 2.99768 0.200736 -0.249377
-0.13481 -4.98858 2.97275 0.20102 -0.249134
-0.1546 -4.98495 2.94785 0.201349 -0.248849
-0.174327 -4.98082 2.92298 0.201726 -0.248522
-0.193985 -4.9762 2.89815 0.202148 -0.24815
-0.213564 -4.97108 2.87335 0.202619 -0.247733
-0.233059 -4.96546 2.8486 0.203136 -0.247268
-0.25246 -4.95934 2.8239 0.203702 -0.246754
-0.271761 -4.95273 2.79925 0.204316 -0.246189
-0.290952 -4.94563 2.77466 0.20498 -0.245572
-0.310028 -4.93803 2.75014 0.205692 -0.244901
-0.328979 -4.92993 2.72568 0.206455 -0.244173
-0.347799 -4.92134 2.7013 0.207269 -0.243389
-0.366479 -4.91226 2.67701 0.208133 -0.242545
-0.385013 -4.90269 2.6528 0.20905 -0.241641
-0.403393 -4.89263 2.62868 0.210019 -0.240674
-0.421612 -4.88208 2.60466 0.21104 -0.239644
-0.439662 -4.87104 2.58075 0.212115 -0.23855
-0.457536 -4.85952 2.55695 0.213244 -0.23739
-0.475227 -4.8475 2.53328 0.214427 -0.236164
-0.492728 -4.83501 2.50972 0.215665 -0.234871
-0.510032 -4.82203 2.4863 0.216958 -0.23351
-0.527132 -4.80856 2.46302 0.218307 -0.232082
-0.544021 -4.79462 2.43989 0.219712 -0.230586
-0.560693 -4.7802 2.4169 0.221173 -0.229023
-0.57714 -4.7653 2.39408 0.222691 -0.227394
-0.593356 -4.74992 2.37143 0.224266 -0.225698
-0.609335 -4.73407 2.34894 0.225898 -0.223937
-0.625071 -4.71774 2.32664 0.227588 -0.222112
-0.640556 -4.70095 2.30452 0.229335 -0.220224
-0.655785 -4.68368 2.2826 0.231139 -0.218276
-0.670752 -4.66594 2.26087 0.233001 -0.216268
-0.68545 -4.64774 2.23934 0.23492 -0.214203
-0.699875 -4.62907 2.21803 0.236896 -0.212083
-0.714019 -4.60994 2.19693 0.23893 -0.20991
-0.727878 -4.59035 2.17604 0.24102 -0.207687
-0.741446 -4.5703 2.15539 0.243166 -0.205416
-0.754717 -4.5498 2.13496 0.245369 -0.2031
-0.767686 -4.52883 2.11477 0.247627 -0.200742
-0.780348 -4.50742 2.09481 0.249941 -0.198345
-0.792698 -4.48555 2.0751 0.252309 -0.195912
-0.804731 -4.46324 2.05563 0.254731 -0.193445
-0.816442 -4.44048 2.03641 0.257206 -0.190948
-0.827827 -4.41727 2.01744 0.259734 -0.188424
-0.83888 -4.39363 1.99872 0.262313 -0.185876
-0.849598 -4.36954 1.98026 0.264943 -0.183307
-0.859976 -4.34502 1.96206 0.267624 -0.180719
